Source,Target,Type
W4402996906,W4306316917,Directed
W4416994893,W4306316917,Directed
W4406458220,W4306316917,Directed
W4409568339,W4306316917,Directed
W4413364467,W4306316917,Directed
W4415746216,W4306316917,Directed
W4416313822,W4306316917,Directed
W7125944432,W4306316917,Directed
W7132836982,W4306316917,Directed
W7134896795,W4306316917,Directed
W7155102214,W4306316917,Directed
W7160020535,W4306316917,Directed
W7163042149,W4306316917,Directed
W7164170848,W4306316917,Directed
W4385572158,W3033757400,Directed
W4284695904,W3033757400,Directed
W4411121003,W3033757400,Directed
W4401073211,W3033757400,Directed
W4391841738,W3033757400,Directed
W4379523627,W3033757400,Directed
W4385572012,W3033757400,Directed
W4283817243,W3033757400,Directed
W4379510782,W3033757400,Directed
W4386768595,W3033757400,Directed
W4389443765,W3033757400,Directed
W7117464754,W3033757400,Directed
W7161910982,W3033757400,Directed
W7140137235,W4416017198,Directed
W4401834466,W4387854274,Directed
W4400527650,W4387854274,Directed
W4409657195,W4387854274,Directed
W4412376963,W4387854274,Directed
W4404193850,W4387854274,Directed
W4415623814,W4387854274,Directed
W4403582463,W4387854274,Directed
W4410088787,W4387854274,Directed
W4400529722,W4387854274,Directed
W4409002446,W4387854274,Directed
W4400943052,W4387854274,Directed
W4406461149,W4387854274,Directed
W4412876954,W4387854274,Directed
W4417282046,W4387854274,Directed
W7117450420,W4387854274,Directed
W7125007108,W4387854274,Directed
W7152470887,W4387854274,Directed
W7154315075,W4387854274,Directed
W7155630421,W4387854274,Directed
W7155851662,W4387854274,Directed
W7166687131,W4387854274,Directed
W4408345871,W4387848802,Directed
W4417267121,W4387848802,Directed
W4404588513,W4403577801,Directed
W7128609400,W4403577801,Directed
W7133563263,W4403577801,Directed
W4401213616,W3124364749,Directed
W4390547902,W3124364749,Directed
W4293063137,W3124364749,Directed
W4321177583,W3124364749,Directed
W4399365651,W3124364749,Directed
W4283020523,W3124364749,Directed
W4224313013,W3124364749,Directed
W3205301323,W3124364749,Directed
W4282569412,W3124364749,Directed
W4380302122,W3124364749,Directed
W4388202952,W3124364749,Directed
W4399205190,W3124364749,Directed
W4386199806,W3124364749,Directed
W4360765154,W3124364749,Directed
W4281770633,W3124364749,Directed
W3175971736,W3124364749,Directed
W4312588896,W3124364749,Directed
W4297633614,W3124364749,Directed
W4386462080,W3124364749,Directed
W4391265935,W3124364749,Directed
W4408139070,W3124364749,Directed
W4410118483,W3124364749,Directed
W4391430476,W3124364749,Directed
W4401822700,W3124364749,Directed
W4380302234,W3124364749,Directed
W4221059212,W3124364749,Directed
W4387838169,W3124364749,Directed
W4323644322,W3124364749,Directed
W4380302034,W3124364749,Directed
W4387846225,W3124364749,Directed
W4387059552,W3124364749,Directed
W4394844641,W3124364749,Directed
W4406127278,W3124364749,Directed
W4395701687,W3124364749,Directed
W4404903053,W3124364749,Directed
W4392846396,W3124364749,Directed
W4414509797,W3124364749,Directed
W4283447469,W3124364749,Directed
W4224979557,W3124364749,Directed
W4380361365,W3124364749,Directed
W4385187346,W3124364749,Directed
W4372341084,W3124364749,Directed
W4410636986,W3124364749,Directed
W4415342126,W3124364749,Directed
W4407786033,W3124364749,Directed
W4408324209,W3124364749,Directed
W4400481834,W3124364749,Directed
W3209123674,W3124364749,Directed
W4224222145,W3124364749,Directed
W4225635683,W3124364749,Directed
W4225968121,W3124364749,Directed
W4226091709,W3124364749,Directed
W4226103595,W3124364749,Directed
W4226499527,W3124364749,Directed
W4292937952,W3124364749,Directed
